H,101,0,0,4,5,4
C,102,9,0,1,1
C,103,9,9,3,4
H,104,0,5,4,2,3
C,105,8,7,1,5
C,106,9,8,3,4
C,107,1,0,4,5
B,108,1,1,1,1
C,109,0,1,3,4
C,110,1,2,4,2
C,111,2,2,1,5
B,112,2,3,3,4
C,113,2,4,4,5
C,114,2,5,1,1
C,115,2,6,3,4
H,116,2,7,4,2,4
C,117,2,8,1,5
C,118,2,9,3,4
C,119,6,9,4,5
B,120,3,1,1,1
C,121,3,2,3,4
C,122,3,3,4,2
C,123,3,4,1,5
B,124,3,5,3,4
C,125,3,6,4,5
C,126,3,7,1,1
C,127,3,8,3,4
H,128,3,9,4,2,2
C,129,7,9,1,5
C,130,3,0,3,4
C,131,4,0,4,5
C,132,4,1,1,1
C,133,4,2,3,4
C,134,4,3,4,2
C,135,4,4,1,5
C,136,4,5,3,4
